"dossier"	"Fichier.image"	"puit"	"diaphragme"	"champ"	"condition"	"Results.csv"	"code"	"mediane"	"nombre"	"moyenne"	"SD"	"SEM"
"210603-huile-rouge-x20"	"2.zvi"	"D1"	"DIC"	"1"	"matrigel"	"210603-huile-rouge-x20/sortie/2-Results.csv"	"210603-huile-rouge-x20_sortie_2"	8.105	2876	12.2843497913769	12.6605259054736	0.236078971991155
"210603-huile-rouge-x20"	"3.zvi"	"D1"	"DIC"	"2"	"matrigel"	"210603-huile-rouge-x20/sortie/3-Results.csv"	"210603-huile-rouge-x20_sortie_3"	5.37	3898	9.45457670600308	11.0500440302032	0.176987702283889
"210603-huile-rouge-x20"	"4.zvi"	"D1"	"DIC"	"3"	"matrigel"	"210603-huile-rouge-x20/sortie/4-Results.csv"	"210603-huile-rouge-x20_sortie_4"	3.16	4114	7.79933884297521	10.183541729167	0.158769363481075
"210603-huile-rouge-x20"	"5.zvi"	"D2"	"DIC"	"1"	"matrigel"	"210603-huile-rouge-x20/sortie/5-Results.csv"	"210603-huile-rouge-x20_sortie_5"	6.45	3102	10.6631012250161	11.7714786537483	0.211353830228918
"210603-huile-rouge-x20"	"6.zvi"	"D2"	"DIC"	"2"	"matrigel"	"210603-huile-rouge-x20/sortie/6-Results.csv"	"210603-huile-rouge-x20_sortie_6"	4.34	4791	8.07704028386558	9.78162874816116	0.141318197742993
"210603-huile-rouge-x20"	"7.zvi"	"D2"	"DIC"	"3"	"matrigel"	"210603-huile-rouge-x20/sortie/7-Results.csv"	"210603-huile-rouge-x20_sortie_7"	4.87	3966	8.75919818456883	10.1699833393363	0.16148935001112
"210603-huile-rouge-x20"	"8.zvi"	"D3"	"DIC"	"1"	"matrigel"	"210603-huile-rouge-x20/sortie/8-Results.csv"	"210603-huile-rouge-x20_sortie_8"	3.92	3914	8.29046499744507	10.4850104140141	0.16759399576034
"210603-huile-rouge-x20"	"9.zvi"	"D3"	"DIC"	"2"	"matrigel"	"210603-huile-rouge-x20/sortie/9-Results.csv"	"210603-huile-rouge-x20_sortie_9"	5.805	3704	9.38887958963283	10.4513708036027	0.1717266774498
"210603-huile-rouge-x20"	"10.zvi"	"D3"	"DIC"	"3"	"matrigel"	"210603-huile-rouge-x20/sortie/10-Results.csv"	"210603-huile-rouge-x20_sortie_10"	4.98	3945	8.78796197718631	10.168223301796	0.16189057713332
"210603-huile-rouge-x20"	"11.zvi"	"D4"	"DIC"	"1"	"matrigel"	"210603-huile-rouge-x20/sortie/11-Results.csv"	"210603-huile-rouge-x20_sortie_11"	4.985	3442	9.03037478210343	10.5699264269933	0.180163384329034
"210603-huile-rouge-x20"	"12.zvi"	"D4"	"DIC"	"2"	"matrigel"	"210603-huile-rouge-x20/sortie/12-Results.csv"	"210603-huile-rouge-x20_sortie_12"	5.81	3728	9.72804721030043	10.5626747805613	0.172995958144431
"210603-huile-rouge-x20"	"13.zvi"	"D4"	"DIC"	"3"	"matrigel"	"210603-huile-rouge-x20/sortie/13-Results.csv"	"210603-huile-rouge-x20_sortie_13"	4.97	2626	9.25242193450114	11.3154956038421	0.220813803937518
"210603-huile-rouge-x20"	"14.zvi"	"D5"	"DIC"	"1"	"matrigel"	"210603-huile-rouge-x20/sortie/14-Results.csv"	"210603-huile-rouge-x20_sortie_14"	4.445	3438	8.71116637579988	11.0204015376159	0.187950931526062
"210603-huile-rouge-x20"	"15.zvi"	"D5"	"DIC"	"2"	"matrigel"	"210603-huile-rouge-x20/sortie/15-Results.csv"	"210603-huile-rouge-x20_sortie_15"	5.12	3529	9.40129498441485	11.1006186675397	0.186862155696513
"210603-huile-rouge-x20"	"16.zvi"	"D5"	"DIC"	"3"	"matrigel"	"210603-huile-rouge-x20/sortie/16-Results.csv"	"210603-huile-rouge-x20_sortie_16"	6.28	2412	10.7505928689884	12.1300907549032	0.246987741253014
"210603-huile-rouge-x20"	"17.zvi"	"D6"	"DIC"	"1"	"matrigel"	"210603-huile-rouge-x20/sortie/17-Results.csv"	"210603-huile-rouge-x20_sortie_17"	5.24	2697	10.0535113088617	12.0085203376711	0.231232579899051
"210603-huile-rouge-x20"	"18.zvi"	"D6"	"DIC"	"2"	"matrigel"	"210603-huile-rouge-x20/sortie/18-Results.csv"	"210603-huile-rouge-x20_sortie_18"	5.5	2659	9.92554343738247	11.7456426304078	0.227781062450662
"210603-huile-rouge-x20"	"19.zvi"	"D6"	"DIC"	"3"	"matrigel"	"210603-huile-rouge-x20/sortie/19-Results.csv"	"210603-huile-rouge-x20_sortie_19"	6.235	3378	10.3846210775607	11.7600881656767	0.20233953847194
"210603-huile-rouge-x20"	"20.zvi"	"D6"	"PH2"	"3"	"matrigel"	"210603-huile-rouge-x20/sortie/20-Results.csv"	"210603-huile-rouge-x20_sortie_20"	4.92	3789	9.22541303774083	11.1306825985878	0.180825425618597
"210603-huile-rouge-x20"	"21.zvi"	"D6"	"Rhod"	"3"	"matrigel"	"210603-huile-rouge-x20/sortie/21-Results.csv"	"210603-huile-rouge-x20_sortie_21"	4.62	3843	9.17051782461619	11.2983881561486	0.182255775103061
"210603-huile-rouge-x20"	"22.zvi"	"D6"	"GFP"	"3"	"matrigel"	"210603-huile-rouge-x20/sortie/22-Results.csv"	"210603-huile-rouge-x20_sortie_22"	3.29	918	8.34436819172113	11.7899004051479	0.389124697269895
"210603-huile-rouge-x20"	"23.zvi"	"D6"	"DAPI"	"3"	"matrigel"	"210603-huile-rouge-x20/sortie/23-Results.csv"	"210603-huile-rouge-x20_sortie_23"	4.57	3982	8.91997739829232	10.9153097027777	0.172975834595417
"210602-huile-rouge-x20"	"faps-ORO-petite-boite_champ01.zvi"	"petite-boite"	"DIC"	"1"	"geltrex"	"210602-huile-rouge-x20/sortie/faps-ORO-petite-boite_champ01-Results.csv"	"210602-huile-rouge-x20_sortie_faps-ORO-petite-boite_champ01"	4.27	9687	8.40531227418189	10.9031075651278	0.110778542475422
"210602-huile-rouge-x20"	"faps-ORO-petite-boite_champ02.zvi"	"petite-boite"	"DIC"	"2"	"geltrex"	"210602-huile-rouge-x20/sortie/faps-ORO-petite-boite_champ02-Results.csv"	"210602-huile-rouge-x20_sortie_faps-ORO-petite-boite_champ02"	4.82	8110	9.31906658446363	11.6994041660749	0.129913211018683
"210602-huile-rouge-x20"	"faps-ORO-petite-boite_champ03.zvi"	"petite-boite"	"DIC"	"3"	"geltrex"	"210602-huile-rouge-x20/sortie/faps-ORO-petite-boite_champ03-Results.csv"	"210602-huile-rouge-x20_sortie_faps-ORO-petite-boite_champ03"	2.93	13682	7.51797178775033	12.566807024259	0.107436079786763
"210602-huile-rouge-x20"	"faps-ORO-petite-boite_champ04.zvi"	"petite-boite"	"DIC"	"4"	"geltrex"	"210602-huile-rouge-x20/sortie/faps-ORO-petite-boite_champ04-Results.csv"	"210602-huile-rouge-x20_sortie_faps-ORO-petite-boite_champ04"	4.79	9620	8.97019230769231	11.3710590766568	0.115934683258314
"210602-huile-rouge-x20"	"faps-ORO-petite-boite_champ05.zvi"	"petite-boite"	"DIC"	"5"	"geltrex"	"210602-huile-rouge-x20/sortie/faps-ORO-petite-boite_champ05-Results.csv"	"210602-huile-rouge-x20_sortie_faps-ORO-petite-boite_champ05"	4.9	9758	9.54105964336954	12.4711175229208	0.126248133184042
"210602-huile-rouge-x20"	"faps-ORO-petite-boite_champ06.zvi"	"petite-boite"	"DIC"	"6"	"geltrex"	"210602-huile-rouge-x20/sortie/faps-ORO-petite-boite_champ06-Results.csv"	"210602-huile-rouge-x20_sortie_faps-ORO-petite-boite_champ06"	4.71	8428	9.84010560037969	13.258560198467	0.144422248209642
"210602-huile-rouge-x20"	"faps-ORO-petite-boite_champ07.zvi"	"petite-boite"	"DIC"	"7"	"geltrex"	"210602-huile-rouge-x20/sortie/faps-ORO-petite-boite_champ07-Results.csv"	"210602-huile-rouge-x20_sortie_faps-ORO-petite-boite_champ07"	4.87	8557	9.88127848545051	12.6806548660676	0.137082152862572
"210602-huile-rouge-x20"	"faps-ORO-petite-boite_champ08.zvi"	"petite-boite"	"DIC"	"8"	"geltrex"	"210602-huile-rouge-x20/sortie/faps-ORO-petite-boite_champ08-Results.csv"	"210602-huile-rouge-x20_sortie_faps-ORO-petite-boite_champ08"	4.71	9284	9.87056548901336	13.2623362085098	0.137642473171949
"210602-huile-rouge-x20"	"faps-ORO-petite-boite_champ09.zvi"	"petite-boite"	"DIC"	"9"	"geltrex"	"210602-huile-rouge-x20/sortie/faps-ORO-petite-boite_champ09-Results.csv"	"210602-huile-rouge-x20_sortie_faps-ORO-petite-boite_champ09"	5.26	9133	10.2335026825797	13.7974758917046	0.144375305121837
"210602-huile-rouge-x20"	"faps-ORO-petite-boite_champ10.zvi"	"petite-boite"	"DIC"	"10"	"geltrex"	"210602-huile-rouge-x20/sortie/faps-ORO-petite-boite_champ10-Results.csv"	"210602-huile-rouge-x20_sortie_faps-ORO-petite-boite_champ10"	5.16	7468	11.4198580610605	16.0593399950937	0.1858341553621
"210602-huile-rouge-x20"	"faps-ORO-petite-boite_champ11.zvi"	"petite-boite"	"DIC"	"11"	"geltrex"	"210602-huile-rouge-x20/sortie/faps-ORO-petite-boite_champ11-Results.csv"	"210602-huile-rouge-x20_sortie_faps-ORO-petite-boite_champ11"	4.22	11060	7.88768264014467	10.1867587144595	0.0968631205078705
